IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
146000807,NON-CRIMINAL,LOST PROPERTY,Wednesday,5/31/2015,17:00,PARK,NONE,PAGE ST / ASHBURY ST,-122.4471237,37.77093426,"(37.7709342643167, -122.447123741877)"
146000910,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,6/1/2015,21:00,INGLESIDE,NONE,ANDOVER ST / POWHATTAN AV,-122.4163066,37.74163791,"(37.7416379065392, -122.41630655558)"
140000736,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,6/2/2015,1:24,SOUTHERN,"ARREST, CITED",BATTERY ST / MARKET ST,-122.3991523,37.79101661,"(37.7910166130682, -122.399152260199)"
131099122,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,6/3/2015,0:40,NORTHERN,"ARREST, BOOKED",FERN ST / POLK ST,-122.420212,37.78822254,"(37.7882225424263, -122.420211964949)"
140006336,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,6/4/2015,4:15,BAYVIEW,"ARREST, CITED",CESAR CHAVEZ ST / PENNSYLVANIA AV,-122.3923823,37.75002082,"(37.7500208205248, -122.392382346886)"
140000554,WARRANTS,WARRANT ARREST,Wednesday,6/5/2015,4:13,MISSION,NONE,UTAH ST / 24TH ST,-122.4053332,37.75306449,"(37.7530644943091, -122.405333200208)"
140003069,NON-CRIMINAL,LOST PROPERTY,Wednesday,6/6/2015,0:01,TARAVAL,NONE,GREAT HY / SLOAT BL,-122.5067145,37.73546576,"(37.735465762973, -122.506714460434)"
140003069,NON-CRIMINAL,FOUND PROPERTY,Wednesday,6/7/2015,0:01,TARAVAL,NONE,GREAT HY / SLOAT BL,-122.5067145,37.73546576,"(37.735465762973, -122.506714460434)"
140003291,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,6/8/2015,15:00,INGLESIDE,NONE,BERNALHTS BL / ANDERSON ST,-122.4150165,37.74218354,"(37.7421835425926, -122.415016528388)"
140003439,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,6/9/2015,9:15,MISSION,NONE,GUERRERO ST / 26TH ST,-122.4225723,37.74877401,"(37.7487740050495, -122.422572334213)"
140003912,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,6/10/2015,12:15,SOUTHERN,"ARREST, CITED",MISSION ST / 7TH ST,-122.4109392,37.77921226,"(37.7792122590085, -122.410939205552)"
140005394,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,6/11/2015,14:45,MISSION,NONE,24TH ST / MISSION ST,-122.4184482,37.75223917,"(37.7522391652625, -122.418448186101)"
